time,city,area,current_speed,free_speed,confidence,lat,lon
2026-03-31 18:58:10.602956,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:12.328457,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:14.057343,Delhi,Connaught Place,15,24,1,28.6315,77.2167
2026-03-31 18:58:15.874185,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:17.793123,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:19.461443,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:21.349145,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:23.135966,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:24.809544,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:26.618489,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:28.395939,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:30.082822,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:31.880989,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:33.625434,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:35.304768,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:37.296788,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:39.124071,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:40.952483,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:42.918461,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:58:44.991730,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:46.694712,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:48.530967,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:50.354234,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:52.171556,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:53.840562,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:55.583562,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:57.362069,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:58:59.270311,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:01.218677,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:04.189633,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:06.113592,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:08.113919,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:10.299187,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:12.245124,Delhi,Connaught Place,17,24,1,28.6315,77.2167
2026-03-31 18:59:14.281458,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:16.355764,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:18.298722,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:20.110152,Delhi,Connaught Place,19,24,1,28.6315,77.2167
